// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
02051	NaN	-8.983616	2.997772	-2.500341	0.008767	-0.003851	-0.017607	NaN	NaN	NaN	0.009678	0.002376	0.004051	NaN	NaN	NaN	0.663818	-0.259766	0.522705	-0.149729	0.049961	-0.041665	1.000000	0.000081	0.000020	0.000034	129.894362	66.457028	134.452780	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02052	NaN	-8.964338	2.972378	-2.517319	-0.010635	-0.024780	-0.038714	NaN	NaN	NaN	-0.008965	0.006940	0.001058	NaN	NaN	NaN	0.671875	-0.260498	0.529541	-0.149408	0.049535	-0.041950	1.000000	-0.000075	0.000058	0.000009	129.903188	66.449867	134.472728	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02053	NaN	-8.959541	2.953369	-2.481503	0.024168	-0.037754	-0.058119	NaN	NaN	NaN	-0.009188	0.004732	0.001442	NaN	NaN	NaN	0.655029	-0.252441	0.529297	-0.149328	0.049218	-0.041356	1.000000	-0.000077	0.000039	0.000012	129.907692	66.443818	134.488264	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02054	NaN	-8.977954	2.954142	-2.490887	0.021118	-0.043500	-0.038599	NaN	NaN	NaN	0.000527	-0.000167	-0.000730	NaN	NaN	NaN	0.662354	-0.251953	0.531250	-0.149632	0.049237	-0.041515	1.000000	0.000004	-0.000001	-0.000006	129.916994	66.442210	134.499046	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02055	NaN	-8.953331	2.955491	-2.516790	-0.010176	-0.038226	-0.054115	NaN	NaN	NaN	-0.005977	-0.000061	0.000327	NaN	NaN	NaN	0.658691	-0.258545	0.526367	-0.149222	0.049256	-0.041949	1.000000	-0.000050	-0.000001	0.000003	129.918730	66.439874	134.508422	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02056	NaN	-8.948038	2.959802	-2.503613	0.001591	-0.031587	-0.061026	NaN	NaN	NaN	-0.016131	0.008007	0.001406	NaN	NaN	NaN	0.666504	-0.253418	0.529053	-0.149137	0.049323	-0.041724	1.000000	-0.000134	0.000067	0.000012	129.922358	66.431690	134.530179	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02057	NaN	-8.964263	2.976925	-2.469608	0.039324	-0.016980	-0.049633	NaN	NaN	NaN	-0.024239	0.010514	0.003020	NaN	NaN	NaN	0.662109	-0.266846	0.530518	-0.149409	0.049603	-0.041157	1.000000	-0.000202	0.000088	0.000025	129.920398	66.420969	134.554528	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02058	NaN	-8.976727	2.957471	-2.491360	0.023671	-0.043101	-0.038603	NaN	NaN	NaN	-0.022498	0.007329	0.003902	NaN	NaN	NaN	0.659668	-0.257813	0.528564	-0.149616	0.049279	-0.041523	1.000000	-0.000187	0.000061	0.000033	129.913055	66.411261	134.570737	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02059	NaN	-8.964884	2.964825	-2.513580	-0.000206	-0.037162	-0.041504	NaN	NaN	NaN	-0.014210	0.006721	0.009992	NaN	NaN	NaN	0.655029	-0.257568	0.544189	-0.149421	0.049396	-0.041890	1.000000	-0.000118	0.000056	0.000083	129.904459	66.397602	134.577231	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02060	NaN	-8.952827	2.972720	-2.535905	-0.024022	-0.031219	-0.044400	NaN	NaN	NaN	-0.025827	0.009923	0.010069	NaN	NaN	NaN	0.663086	-0.260498	0.537598	-0.149221	0.049524	-0.042263	1.000000	-0.000215	0.000083	0.000084	129.890747	66.381698	134.590281	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02061	NaN	-8.966552	2.933630	-2.485515	0.030185	-0.069649	-0.056804	NaN	NaN	NaN	-0.037461	0.004440	0.016860	NaN	NaN	NaN	0.662354	-0.268311	0.534912	-0.149451	0.048860	-0.041435	1.000000	-0.000312	0.000037	0.000140	129.846706	66.364347	134.582309	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02062	NaN	-8.964870	2.961168	-2.507303	0.007772	-0.049963	-0.044298	NaN	NaN	NaN	-0.032514	0.002940	0.019625	NaN	NaN	NaN	0.665771	-0.261963	0.537842	-0.149424	0.049317	-0.041798	1.000000	-0.000271	0.000024	0.000164	129.800658	66.345802	134.566741	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02063	NaN	-8.964267	2.990292	-2.480658	0.032135	-0.022972	-0.042732	NaN	NaN	NaN	-0.026256	0.002520	0.017321	NaN	NaN	NaN	0.669678	-0.263184	0.536377	-0.149413	0.049808	-0.041352	1.000000	-0.000219	0.000021	0.000144	129.763502	66.329333	134.554625	NaN	NaN	NaN	NaN	NaN	NaN	0.00
02064	NaN	-8.971406	2.975891	-2.488590	0.027612	-0.042499	-0.038611	NaN	NaN	NaN	-0.001907	0.000662	0.012255	NaN	NaN	NaN	0.655762	-0.264404	0.535645	-0.149529	0.049582	-0.041476	1.000000	-0.000016	0.000006	0.000102	129.753413	66.317779	134.546672	NaN	NaN	NaN	NaN	NaN	NaN	0.00
