// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45B8B
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
42134	NaN	0.794044	1.964769	-9.633301	-3.960749	0.440134	-0.790047	NaN	NaN	NaN	-0.777449	-0.565724	0.003304	NaN	NaN	NaN	0.026855	-0.088379	0.977539	0.013991	0.031706	-0.160698	0.999968	-0.006479	-0.004714	0.000028	158.457420	17.489029	149.222006	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42135	NaN	-0.589426	2.186614	-9.286075	-2.645416	-0.097196	-0.628457	NaN	NaN	NaN	-0.774634	0.583495	0.276377	NaN	NaN	NaN	0.014404	-0.110352	0.978760	-0.010659	0.035420	-0.154948	0.999965	-0.006455	0.004862	0.002303	157.707306	16.871432	149.183995	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42136	NaN	-2.666034	2.302781	-11.665631	-1.812369	-1.646272	2.124520	NaN	NaN	NaN	-0.501024	1.112483	0.405553	NaN	NaN	NaN	-0.005859	-0.107910	0.970947	-0.046362	0.037414	-0.194161	0.999943	-0.004175	0.009271	0.003380	157.244468	15.739306	149.235938	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42137	NaN	-4.497347	2.640298	-11.821358	-0.068127	-2.406189	2.881603	NaN	NaN	NaN	0.279688	0.733474	0.088237	NaN	NaN	NaN	-0.014404	-0.111084	0.974609	-0.076190	0.044408	-0.196456	0.999978	0.002331	0.006112	0.000735	157.565767	15.057727	149.435146	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42138	NaN	-4.800034	2.848685	-9.392845	1.345159	-1.871017	0.867690	NaN	NaN	NaN	0.250686	0.162193	-0.043387	NaN	NaN	NaN	-0.022461	-0.101563	0.978027	-0.080195	0.047834	-0.156339	0.999997	0.002089	0.001352	-0.000362	157.832948	14.927750	149.536533	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42139	NaN	-3.757480	2.619343	-7.979285	0.946779	-1.249946	-0.746838	NaN	NaN	NaN	-0.111672	-0.330317	0.025798	NaN	NaN	NaN	-0.017090	-0.101318	0.978027	-0.062268	0.043518	-0.133200	0.999996	-0.000931	-0.002753	0.000215	157.689944	15.208266	149.390197	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42140	NaN	-2.202394	2.330101	-8.482239	-0.709367	-0.811623	-0.809021	NaN	NaN	NaN	0.109630	-0.442691	0.017184	NaN	NaN	NaN	-0.013672	-0.101807	0.977295	-0.036190	0.038959	-0.141469	0.999993	0.000914	-0.003689	0.000143	157.748306	15.591282	149.209139	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42141	NaN	-1.376326	2.480037	-8.694309	-1.425598	-0.223918	-0.782107	NaN	NaN	NaN	1.021020	-0.269370	0.047528	NaN	NaN	NaN	-0.002441	-0.094727	0.980713	-0.022631	0.042556	-0.144598	0.999961	0.008508	-0.002245	0.000396	158.686779	15.811333	149.067188	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42142	NaN	-1.274480	3.286446	-9.616346	-1.454361	0.563014	0.309440	NaN	NaN	NaN	2.018154	-0.011070	0.191440	NaN	NaN	NaN	-0.003662	-0.057373	0.980713	-0.021317	0.057425	-0.159323	0.999857	0.016817	-0.000092	0.001595	160.566768	15.755473	148.886273	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42143	NaN	-1.695745	4.247983	-10.209566	-0.722194	1.382858	1.264693	NaN	NaN	NaN	2.220439	0.227683	0.268884	NaN	NaN	NaN	-0.006836	-0.022705	0.984131	-0.028747	0.073867	-0.168757	0.999825	0.018503	0.001897	0.002241	162.640535	15.465793	148.705514	NaN	NaN	NaN	NaN	NaN	NaN	0.00
