// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45996
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
42134	NaN	-8.692562	2.425380	-3.909567	-0.112298	0.145722	0.020597	NaN	NaN	NaN	0.008903	0.461704	0.115022	NaN	NaN	NaN	0.992188	-0.128174	0.112305	-0.145164	0.040289	-0.064598	0.999992	0.000074	0.003848	0.000959	146.336240	61.388763	8.708048	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42135	NaN	-8.876222	2.807550	-4.179002	0.144140	-0.005700	0.390872	NaN	NaN	NaN	0.020161	0.315998	0.109054	NaN	NaN	NaN	0.989502	-0.140137	0.112793	-0.148162	0.046670	-0.069252	0.999996	0.000168	0.002633	0.000909	146.510648	61.079469	8.876197	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42136	NaN	-8.758005	2.769223	-4.341096	0.229776	0.118181	0.343560	NaN	NaN	NaN	0.001342	0.285767	0.117653	NaN	NaN	NaN	0.987305	-0.135498	0.111572	-0.146184	0.046011	-0.072003	0.999997	0.000011	0.002381	0.000980	146.622894	60.789546	8.994277	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42137	NaN	-8.825223	2.474318	-4.528998	0.087988	0.439593	0.400902	NaN	NaN	NaN	-0.010389	0.298958	0.111022	NaN	NaN	NaN	0.987793	-0.133545	0.114014	-0.147313	0.041096	-0.075120	0.999996	-0.000087	0.002491	0.000925	146.743372	60.492450	9.134995	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42138	NaN	-9.060963	2.211162	-4.620982	-0.170391	0.661153	0.573722	NaN	NaN	NaN	0.072575	0.196860	0.096391	NaN	NaN	NaN	0.986816	-0.145508	0.119873	-0.151172	0.036778	-0.076746	0.999998	0.000605	0.001640	0.000803	146.867406	60.284437	9.189008	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42139	NaN	-8.959809	2.187370	-4.541866	-0.211976	0.618591	0.447121	NaN	NaN	NaN	0.155701	0.108803	0.076580	NaN	NaN	NaN	0.993408	-0.140381	0.120850	-0.149422	0.036459	-0.075515	0.999999	0.001298	0.000907	0.000638	147.017254	60.157155	9.181362	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42140	NaN	-8.890809	2.468749	-4.471931	-0.063619	0.352933	0.434789	NaN	NaN	NaN	0.201989	-0.005137	0.056017	NaN	NaN	NaN	0.981934	-0.144775	0.122314	-0.148196	0.041202	-0.074469	0.999998	0.001683	-0.000043	0.000467	147.136580	60.131903	9.087528	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42141	NaN	-8.662138	2.642930	-4.565729	0.219357	0.296057	0.322785	NaN	NaN	NaN	0.155430	-0.128246	0.034282	NaN	NaN	NaN	0.991455	-0.145020	0.125488	-0.144300	0.044106	-0.076193	0.999999	0.001295	-0.001069	0.000286	147.130468	60.216706	8.900361	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42142	NaN	-8.167666	2.903541	-4.576369	0.640006	0.145290	-0.032415	NaN	NaN	NaN	0.146183	-0.134015	0.022836	NaN	NaN	NaN	0.989258	-0.137939	0.121094	-0.136052	0.048459	-0.076366	0.999999	0.001218	-0.001117	0.000190	147.125788	60.312049	8.725177	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42143	NaN	-8.204838	3.098095	-4.457608	0.671350	-0.084343	0.002098	NaN	NaN	NaN	0.130257	-0.041025	0.029682	NaN	NaN	NaN	0.984131	-0.140869	0.120605	-0.136735	0.051682	-0.074284	0.999999	0.001085	-0.000342	0.000247	147.180503	60.329248	8.635961	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42144	NaN	-8.005687	3.228209	-4.192532	0.676554	-0.339547	-0.246253	NaN	NaN	NaN	0.061939	-0.046740	0.079908	NaN	NaN	NaN	0.985840	-0.138672	0.119385	-0.133437	0.053751	-0.069900	1.000000	0.000516	-0.000389	0.000666	147.094011	60.324954	8.459330	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42145	NaN	-8.075214	3.134212	-4.352088	0.685318	-0.159697	-0.144293	NaN	NaN	NaN	0.022826	-0.060714	0.127396	NaN	NaN	NaN	0.983887	-0.143799	0.108154	-0.134606	0.052108	-0.072593	0.999999	0.000190	-0.000506	0.001062	146.890734	60.306895	8.191269	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42146	NaN	-7.873922	2.785858	-4.270384	0.514909	0.084894	-0.446609	NaN	NaN	NaN	-0.041121	-0.007504	0.175468	NaN	NaN	NaN	0.989502	-0.149658	0.120117	-0.131295	0.046215	-0.071197	0.999999	-0.000343	-0.000063	0.001462	146.608531	60.220578	7.902515	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42147	NaN	-7.939645	2.190962	-3.861534	-0.158529	0.282943	-0.721791	NaN	NaN	NaN	-0.065731	0.183475	0.190214	NaN	NaN	NaN	0.987305	-0.159424	0.123779	-0.132483	0.036271	-0.064176	0.999997	-0.000548	0.001529	0.001585	146.459537	59.973778	7.794051	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42148	NaN	-8.578735	1.781969	-3.860611	-0.758338	0.552454	-0.284100	NaN	NaN	NaN	-0.027889	0.217770	0.169840	NaN	NaN	NaN	0.988281	-0.150146	0.125000	-0.143137	0.029482	-0.064091	0.999997	-0.000232	0.001815	0.001415	146.407472	59.710365	7.755600	NaN	NaN	NaN	NaN	NaN	NaN	0.00
