// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
42134	NaN	-5.551964	-6.950138	-2.414283	-0.070393	-0.078598	-0.596060	NaN	NaN	NaN	0.116460	0.551498	0.109110	NaN	NaN	NaN	0.835205	0.426270	0.269287	-0.092611	-0.115881	-0.039925	0.999989	0.000970	0.004596	0.000909	-108.591968	36.673129	-12.121448	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42135	NaN	-5.428078	-6.586298	-2.571820	-0.214091	-0.274392	-0.905600	NaN	NaN	NaN	0.018873	0.598637	-0.009651	NaN	NaN	NaN	0.833252	0.416748	0.279785	-0.090689	-0.109758	-0.042429	0.999988	0.000157	0.004989	-0.000080	-108.978044	36.475669	-12.799654	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42136	NaN	-5.566913	-6.287352	-2.610912	-0.541274	-0.277847	-1.039583	NaN	NaN	NaN	-0.145562	0.635163	-0.186093	NaN	NaN	NaN	0.825684	0.426270	0.285156	-0.093172	-0.104697	-0.042896	0.999984	-0.001213	0.005293	-0.001551	-109.499618	36.103702	-13.445986	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42137	NaN	-5.693093	-6.263320	-2.694508	-0.713171	-0.250005	-0.962347	NaN	NaN	NaN	-0.329108	0.627014	-0.410998	NaN	NaN	NaN	0.823975	0.423096	0.300781	-0.095474	-0.104184	-0.044125	0.999977	-0.002743	0.005225	-0.003425	-110.128932	35.526835	-13.984273	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42138	NaN	-5.341352	-6.218654	-2.798729	-0.547189	-0.320201	-1.173775	NaN	NaN	NaN	-0.502420	0.624216	-0.644544	NaN	NaN	NaN	0.810791	0.433350	0.317383	-0.089818	-0.103356	-0.045747	0.999963	-0.004187	0.005202	-0.005371	-110.854913	34.737273	-14.411882	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42139	NaN	-4.644115	-6.257053	-2.856887	-0.073403	-0.380836	-1.522500	NaN	NaN	NaN	-0.726240	0.694046	-0.843940	NaN	NaN	NaN	0.798828	0.444580	0.331543	-0.078405	-0.104019	-0.046533	0.999940	-0.006052	0.005784	-0.007033	-111.774224	33.740759	-14.812903	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42140	NaN	-4.343814	-6.675526	-3.177286	0.284111	-0.488128	-1.256803	NaN	NaN	NaN	-0.979700	0.832087	-0.980737	NaN	NaN	NaN	0.783447	0.448730	0.345947	-0.073666	-0.111085	-0.051539	0.999909	-0.008164	0.006934	-0.008173	-112.961609	32.567165	-15.273012	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42141	NaN	-4.796592	-7.287319	-3.655500	0.117619	-0.476746	-0.366645	NaN	NaN	NaN	-1.117910	0.910420	-0.977435	NaN	NaN	NaN	0.777588	0.449463	0.364990	-0.081385	-0.121353	-0.059180	0.999895	-0.009316	0.007587	-0.008145	-114.297068	31.358458	-15.778566	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42142	NaN	-5.215614	-8.017688	-4.143066	0.033210	-0.394764	0.603027	NaN	NaN	NaN	-1.189063	0.818670	-0.866840	NaN	NaN	NaN	0.764648	0.456055	0.388184	-0.088355	-0.133665	-0.067127	0.999902	-0.009909	0.006822	-0.007223	-115.651166	30.273528	-16.204384	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42143	NaN	-5.173028	-8.396280	-4.659104	0.131667	-0.524800	1.080715	NaN	NaN	NaN	-1.077377	0.694712	-0.804696	NaN	NaN	NaN	0.756348	0.458496	0.407471	-0.087599	-0.140040	-0.075890	0.999920	-0.008978	0.005789	-0.006706	-116.830440	29.285999	-16.506196	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42144	NaN	-5.329642	-8.510348	-4.803708	-0.053762	-0.357087	1.312589	NaN	NaN	NaN	-0.954989	0.580057	-0.648180	NaN	NaN	NaN	0.749756	0.458008	0.418457	-0.089976	-0.141984	-0.078499	0.999942	-0.007958	0.004834	-0.005401	-117.861402	28.476823	-16.751156	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42145	NaN	-5.531369	-9.175746	-4.995624	0.052907	-0.060447	2.008347	NaN	NaN	NaN	-0.894275	0.392588	-0.378484	NaN	NaN	NaN	0.740967	0.459473	0.430664	-0.092942	-0.153250	-0.081816	0.999962	-0.007452	0.003272	-0.003154	-118.804501	27.976219	-16.938178	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42146	NaN	-5.448715	-9.965248	-5.455608	0.489799	-0.067194	2.777489	NaN	NaN	NaN	-0.572366	0.197219	-0.208806	NaN	NaN	NaN	0.740479	0.456299	0.435059	-0.091250	-0.166360	-0.089984	0.999986	-0.004770	0.001643	-0.001740	-119.390558	27.705276	-17.021544	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42147	NaN	-5.520862	-9.916364	-5.181233	0.388241	0.244133	2.655231	NaN	NaN	NaN	0.035831	0.020016	-0.115442	NaN	NaN	NaN	0.735352	0.457275	0.440430	-0.092188	-0.165158	-0.086388	0.999999	0.000299	0.000167	-0.000962	-119.340340	27.595052	-16.985892	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42148	NaN	-5.132571	-9.415790	-4.857960	0.439127	0.219734	1.949901	NaN	NaN	NaN	0.390751	-0.123164	-0.073173	NaN	NaN	NaN	0.742432	0.459961	0.431152	-0.085555	-0.156613	-0.081564	0.999994	0.003256	-0.001026	-0.000610	-118.899837	27.585963	-16.838908	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42149	NaN	-5.109811	-9.032371	-4.377469	0.246852	0.410293	1.440102	NaN	NaN	NaN	0.690224	-0.249420	-0.083962	NaN	NaN	NaN	0.738037	0.471191	0.426758	-0.085116	-0.150056	-0.073999	0.999981	0.005752	-0.002078	-0.000700	-118.114911	27.624638	-16.566193	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42150	NaN	-4.387840	-8.565368	-4.082380	0.598143	0.199365	0.622116	NaN	NaN	NaN	0.812061	-0.287146	-0.038298	NaN	NaN	NaN	0.742920	0.472412	0.410645	-0.073012	-0.142267	-0.069178	0.999974	0.006767	-0.002393	-0.000319	-117.206883	27.714107	-16.279759	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42151	NaN	-4.455058	-8.569445	-3.919245	0.530389	0.217950	0.594650	NaN	NaN	NaN	0.860806	-0.236781	0.053196	NaN	NaN	NaN	0.729980	0.475586	0.399902	-0.074057	-0.142383	-0.066489	0.999972	0.007173	-0.001973	0.000443	-116.293979	27.856635	-16.083898	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42152	NaN	-4.521264	-8.615559	-3.801368	0.495266	0.200148	0.619594	NaN	NaN	NaN	0.923493	-0.261583	0.140855	NaN	NaN	NaN	0.745605	0.485352	0.395264	-0.075046	-0.143187	-0.064623	0.999967	0.007696	-0.002180	0.001174	-115.327397	28.081055	-15.902454	NaN	NaN	NaN	NaN	NaN	NaN	0.00
