// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45B8B
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
24516	NaN	-5.079839	-9.945799	-1.991532	1.223302	-1.163060	1.405021	NaN	NaN	NaN	-1.622488	-0.972658	-0.785474	NaN	NaN	NaN	-0.011475	0.999023	0.158936	-0.085488	-0.165640	-0.031643	0.999854	-0.013520	-0.008105	-0.006545	-102.843854	17.822720	142.545568	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24517	NaN	-4.309876	-12.015679	-3.334681	0.564221	0.145298	3.367814	NaN	NaN	NaN	-1.649401	-1.163707	-0.991686	NaN	NaN	NaN	-0.033936	0.982178	0.174561	-0.072961	-0.200407	-0.053528	0.999824	-0.013744	-0.009697	-0.008264	-104.006987	17.164664	143.910169	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24518	NaN	-3.158716	-13.238476	-4.440297	-0.202800	1.432608	4.429983	NaN	NaN	NaN	-0.903750	-1.207298	-1.153439	NaN	NaN	NaN	-0.055664	0.988525	0.179932	-0.054029	-0.220678	-0.072882	0.999875	-0.007531	-0.010060	-0.009612	-104.449462	16.385385	145.360900	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24519	NaN	-2.348051	-12.870626	-4.616959	-0.486645	1.939151	3.916181	NaN	NaN	NaN	0.271429	-1.162457	-1.210312	NaN	NaN	NaN	-0.071777	0.976318	0.179932	-0.040543	-0.213931	-0.077822	0.999900	0.002262	-0.009687	-0.010086	-103.799557	15.540264	146.774645	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24520	NaN	-1.985589	-12.194185	-4.899453	-0.166767	2.466012	3.245989	NaN	NaN	NaN	0.895334	-1.211128	-1.265431	NaN	NaN	NaN	-0.088867	0.984375	0.157227	-0.034393	-0.202260	-0.083512	0.999866	0.007461	-0.010092	-0.010545	-102.564691	14.631993	148.226886	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24521	NaN	-1.426148	-11.696349	-3.882715	-0.640812	2.049085	2.405863	NaN	NaN	NaN	1.402336	-1.152638	-1.322727	NaN	NaN	NaN	-0.121338	0.977295	0.133545	-0.025273	-0.193890	-0.067220	0.999825	0.011685	-0.009605	-0.011022	-100.892269	13.621450	149.615241	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24522	NaN	-0.493793	-10.222788	-2.853501	-1.130735	1.883580	0.582102	NaN	NaN	NaN	2.006735	-1.344790	-1.347161	NaN	NaN	NaN	-0.147705	0.976318	0.103271	-0.009581	-0.169449	-0.050500	0.999734	0.016721	-0.011206	-0.011225	-98.633516	12.573663	151.151747	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24523	NaN	0.577663	-8.655128	-1.988906	-1.731082	1.867161	-1.285682	NaN	NaN	NaN	1.913477	-1.349736	-1.371187	NaN	NaN	NaN	-0.179443	0.973145	0.077148	0.008372	-0.143801	-0.035345	0.999744	0.015944	-0.011247	-0.011426	-96.500543	11.447490	152.647621	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24524	NaN	0.836632	-8.853006	-1.673414	-1.897769	1.803878	-1.151508	NaN	NaN	NaN	1.039176	-1.072856	-1.453544	NaN	NaN	NaN	-0.201660	0.958496	0.059570	0.012414	-0.147458	-0.029052	0.999849	0.008659	-0.008940	-0.012112	-95.284685	10.175273	153.830266	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24525	NaN	0.806630	-10.754563	-1.593221	-2.044781	1.695886	0.760220	NaN	NaN	NaN	0.347311	-0.812229	-1.599185	NaN	NaN	NaN	-0.231934	0.968506	0.058838	0.011236	-0.179325	-0.026992	0.999884	0.002894	-0.006768	-0.013326	-94.804684	8.723850	154.762449	NaN	NaN	NaN	NaN	NaN	NaN	0.00
