// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
26798	NaN	-4.690138	5.966143	6.370061	0.221555	0.092781	0.092474	NaN	NaN	NaN	0.013933	0.003081	-0.028603	NaN	NaN	NaN	0.919434	-0.410400	-0.378662	-0.078143	0.099442	0.106181	1.000000	0.000116	0.000026	-0.000238	43.066960	29.650838	20.353442	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26799	NaN	-4.691273	5.994644	6.377916	0.227562	0.115102	0.114879	NaN	NaN	NaN	-0.047662	-0.010866	-0.020501	NaN	NaN	NaN	0.917236	-0.416016	-0.378174	-0.078180	0.099966	0.106252	1.000000	-0.000397	-0.000091	-0.000171	43.013932	29.654393	20.332752	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26800	NaN	-4.637735	5.870743	6.351147	0.244621	0.055888	-0.002066	NaN	NaN	NaN	-0.088092	-0.013660	-0.020351	NaN	NaN	NaN	0.914063	-0.415771	-0.372314	-0.077291	0.097936	0.105772	1.000000	-0.000734	-0.000114	-0.000170	42.921716	29.655623	20.310877	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26801	NaN	-4.635280	5.760207	6.328700	0.223676	-0.009679	-0.082933	NaN	NaN	NaN	-0.055578	-0.009046	-0.026503	NaN	NaN	NaN	0.915771	-0.407471	-0.365967	-0.077241	0.096069	0.105428	1.000000	-0.000463	-0.000075	-0.000221	42.860175	29.664121	20.288232	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26802	NaN	-4.651511	5.813959	6.372644	0.238994	0.012553	-0.015137	NaN	NaN	NaN	-0.009241	-0.007133	-0.035601	NaN	NaN	NaN	0.917725	-0.413818	-0.371582	-0.077503	0.096930	0.106199	1.000000	-0.000077	-0.000059	-0.000297	42.839892	29.680341	20.259545	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26803	NaN	-4.642511	5.891393	6.402017	0.269778	0.066131	0.044802	NaN	NaN	NaN	-0.010367	-0.001844	-0.032816	NaN	NaN	NaN	0.923096	-0.416748	-0.370850	-0.077350	0.098220	0.106691	1.000000	-0.000086	-0.000015	-0.000273	42.821653	29.698138	20.237171	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26804	NaN	-4.654573	5.901685	6.394636	0.257225	0.080070	0.052084	NaN	NaN	NaN	-0.043392	-0.001623	-0.026526	NaN	NaN	NaN	0.919678	-0.414551	-0.369873	-0.077556	0.098417	0.106541	1.000000	-0.000362	-0.000014	-0.000221	42.774610	29.712085	20.220304	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26805	NaN	-4.636800	5.805187	6.373163	0.252489	0.027409	-0.027351	NaN	NaN	NaN	-0.065329	-0.000856	-0.022401	NaN	NaN	NaN	0.923340	-0.414063	-0.368408	-0.077263	0.096825	0.106166	1.000000	-0.000544	-0.000007	-0.000187	42.708543	29.723846	20.207330	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26806	NaN	-4.647507	5.723070	6.315215	0.204178	-0.003829	-0.107375	NaN	NaN	NaN	-0.046983	-0.000186	-0.019002	NaN	NaN	NaN	0.919189	-0.418457	-0.380615	-0.077444	0.095438	0.105216	1.000000	-0.000392	-0.000002	-0.000158	42.661652	29.734018	20.197694	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26807	NaN	-4.687906	5.673970	6.349091	0.187349	-0.068464	-0.094582	NaN	NaN	NaN	-0.009660	-0.002775	-0.012450	NaN	NaN	NaN	0.922607	-0.413086	-0.368652	-0.078124	0.094583	0.105809	1.000000	-0.000080	-0.000023	-0.000104	42.651813	29.737557	20.190927	NaN	NaN	NaN	NaN	NaN	NaN	0.00
