// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
39580	NaN	-6.423047	-6.342303	-3.333544	0.097946	0.032479	-0.190722	NaN	NaN	NaN	-0.102256	-0.033580	-0.021743	NaN	NaN	NaN	0.415771	0.838135	0.175293	-0.107054	-0.105733	-0.055499	1.000000	-0.000852	-0.000280	-0.000181	-117.050320	41.561219	138.656987	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39581	NaN	-6.377464	-6.457194	-3.357180	-0.008917	0.072725	-0.136289	NaN	NaN	NaN	-0.107739	-0.023555	-0.032300	NaN	NaN	NaN	0.412354	0.839111	0.178711	-0.106309	-0.107641	-0.055877	1.000000	-0.000898	-0.000196	-0.000269	-117.127482	41.540229	138.696796	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39582	NaN	-6.365502	-6.545550	-3.391751	-0.071473	0.102289	-0.073476	NaN	NaN	NaN	-0.102124	-0.015234	-0.049429	NaN	NaN	NaN	0.413574	0.844238	0.175537	-0.106129	-0.109097	-0.056450	1.000000	-0.000851	-0.000127	-0.000412	-117.198957	41.501027	138.737415	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39583	NaN	-6.363987	-6.623849	-3.388881	-0.131452	0.092454	-0.023183	NaN	NaN	NaN	-0.088200	-0.006180	-0.060601	NaN	NaN	NaN	0.411865	0.837891	0.177002	-0.106119	-0.110385	-0.056406	1.000000	-0.000735	-0.000052	-0.000505	-117.259471	41.448418	138.773800	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39584	NaN	-6.370477	-6.674669	-3.374708	-0.167620	0.067738	0.010252	NaN	NaN	NaN	-0.065135	-0.001844	-0.069243	NaN	NaN	NaN	0.405029	0.839355	0.175781	-0.106238	-0.111214	-0.056186	1.000000	-0.000543	-0.000015	-0.000577	-117.297949	41.386640	138.810452	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39585	NaN	-6.388438	-6.728803	-3.407441	-0.180414	0.079831	0.069653	NaN	NaN	NaN	-0.040044	-0.001767	-0.068750	NaN	NaN	NaN	0.413330	0.843018	0.181885	-0.106537	-0.112105	-0.056755	1.000000	-0.000334	-0.000015	-0.000573	-117.312659	41.325154	138.846708	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39586	NaN	-6.417639	-6.766882	-3.434858	-0.174842	0.083826	0.123984	NaN	NaN	NaN	-0.009063	-0.002259	-0.064038	NaN	NaN	NaN	0.404541	0.835693	0.178223	-0.107020	-0.112729	-0.057241	1.000000	-0.000076	-0.000019	-0.000534	-117.299403	41.267975	138.880926	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39587	NaN	-6.407237	-6.736812	-3.409937	-0.158407	0.062600	0.088625	NaN	NaN	NaN	0.017140	-0.005335	-0.052951	NaN	NaN	NaN	0.398682	0.843750	0.174316	-0.106834	-0.112225	-0.056853	1.000000	0.000143	-0.000044	-0.000441	-117.263115	41.221488	138.912069	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39588	NaN	-6.411257	-6.653702	-3.380846	-0.095580	0.031335	0.025806	NaN	NaN	NaN	0.032218	-0.006734	-0.045085	NaN	NaN	NaN	0.402344	0.837402	0.178711	-0.106893	-0.110840	-0.056383	1.000000	0.000268	-0.000056	-0.000376	-117.214276	41.182127	138.939887	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39589	NaN	-6.381384	-6.616677	-3.393192	-0.072103	0.055648	-0.014324	NaN	NaN	NaN	0.028416	-0.006092	-0.038217	NaN	NaN	NaN	0.401367	0.835449	0.176025	-0.106389	-0.110231	-0.056585	1.000000	0.000237	-0.000051	-0.000318	-117.172417	41.148416	138.963347	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39590	NaN	-6.384939	-6.567691	-3.364083	-0.037289	0.026349	-0.054769	NaN	NaN	NaN	0.015642	-0.002817	-0.031612	NaN	NaN	NaN	0.404541	0.844238	0.180176	-0.106443	-0.109426	-0.056085	1.000000	0.000130	-0.000023	-0.000263	-117.147703	41.118899	138.979070	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39591	NaN	-6.355283	-6.576124	-3.386975	-0.047214	0.059412	-0.060720	NaN	NaN	NaN	-0.001029	0.000637	-0.028805	NaN	NaN	NaN	0.404541	0.838379	0.177002	-0.105948	-0.109577	-0.056448	1.000000	-0.000009	0.000005	-0.000240	-117.142574	41.090224	138.989463	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39592	NaN	-6.361323	-6.596883	-3.385189	-0.056675	0.052430	-0.043407	NaN	NaN	NaN	-0.011131	0.005987	-0.020891	NaN	NaN	NaN	0.401367	0.839600	0.178223	-0.106044	-0.109935	-0.056404	1.000000	-0.000093	0.000050	-0.000174	-117.154057	41.066015	138.988989	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39593	NaN	-6.420312	-6.620338	-3.423683	-0.025175	0.053776	0.024353	NaN	NaN	NaN	-0.018294	0.002078	-0.016226	NaN	NaN	NaN	0.404785	0.849121	0.182617	-0.107021	-0.110333	-0.057043	1.000000	-0.000152	0.000017	-0.000135	-117.171251	41.047409	138.990397	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39594	NaN	-6.444936	-6.622743	-3.445243	-0.004554	0.057071	0.049582	NaN	NaN	NaN	-0.021231	-0.006612	-0.013892	NaN	NaN	NaN	0.403564	0.845215	0.185791	-0.107425	-0.110377	-0.057407	1.000000	-0.000177	-0.000055	-0.000116	-117.185711	41.034537	139.000415	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39595	NaN	-6.411524	-6.633209	-3.489470	-0.015740	0.109816	0.049929	NaN	NaN	NaN	-0.031626	-0.018049	-0.010844	NaN	NaN	NaN	0.400635	0.834717	0.182129	-0.106860	-0.110559	-0.058145	1.000000	-0.000264	-0.000150	-0.000090	-117.202901	41.029257	139.021894	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39596	NaN	-6.361958	-6.659373	-3.510951	-0.057000	0.152270	0.042367	NaN	NaN	NaN	-0.024990	-0.017642	-0.000542	NaN	NaN	NaN	0.402832	0.840820	0.177490	-0.106025	-0.111001	-0.058508	1.000000	-0.000208	-0.000147	-0.000005	-117.217976	41.032613	139.036752	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39597	NaN	-6.390907	-6.671481	-3.539660	-0.041801	0.162350	0.079402	NaN	NaN	NaN	-0.019287	-0.008367	0.013445	NaN	NaN	NaN	0.403076	0.844238	0.184326	-0.106499	-0.111213	-0.058984	1.000000	-0.000161	-0.000070	0.000112	-117.239614	41.043791	139.032448	NaN	NaN	NaN	NaN	NaN	NaN	0.00
