// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45B00
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
34686	NaN	-6.450969	6.627539	-5.091560	-0.035944	0.946671	0.702314	NaN	NaN	NaN	0.431974	-0.354549	-0.202633	NaN	NaN	NaN	0.507813	-0.480713	0.650391	-0.107079	0.110945	-0.084777	0.999988	0.003600	-0.002955	-0.001689	132.563068	41.367038	140.626824	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34687	NaN	-6.546177	6.238249	-4.959932	0.065744	0.673067	0.478636	NaN	NaN	NaN	-0.048320	-0.293693	-0.287622	NaN	NaN	NaN	0.513672	-0.473145	0.652832	-0.108651	0.104198	-0.082974	0.999994	-0.000403	-0.002447	-0.002397	132.502194	41.761764	140.601305	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34688	NaN	-6.578372	5.679776	-4.929653	0.016564	0.225979	0.176535	NaN	NaN	NaN	-0.266861	-0.258500	-0.253002	NaN	NaN	NaN	0.523926	-0.476074	0.646240	-0.109262	0.094710	-0.082607	0.999993	-0.002224	-0.002154	-0.002108	132.233698	42.109405	140.575126	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34689	NaN	-6.599317	5.289105	-4.844229	0.014642	-0.081078	-0.066661	NaN	NaN	NaN	-0.341226	-0.213940	-0.201093	NaN	NaN	NaN	0.529785	-0.480957	0.642578	-0.109696	0.088105	-0.081183	0.999993	-0.002844	-0.001783	-0.001676	131.890826	42.391639	140.544272	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34690	NaN	-6.562776	5.044618	-4.762886	-0.007042	-0.249814	-0.265929	NaN	NaN	NaN	-0.284554	-0.200234	-0.123260	NaN	NaN	NaN	0.531494	-0.479736	0.638916	-0.109160	0.084000	-0.079763	0.999995	-0.002371	-0.001669	-0.001027	131.564008	42.609555	140.457732	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34691	NaN	-6.574193	4.971407	-4.645452	0.046058	-0.290523	-0.356026	NaN	NaN	NaN	-0.193903	-0.196767	-0.051057	NaN	NaN	NaN	0.533447	-0.475098	0.624023	-0.109407	0.082778	-0.077737	0.999997	-0.001616	-0.001640	-0.000425	131.282587	42.773286	140.310037	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34692	NaN	-6.559703	5.075234	-4.623587	0.019392	-0.196744	-0.319213	NaN	NaN	NaN	-0.120180	-0.192527	-0.048382	NaN	NaN	NaN	0.518799	-0.475098	0.629150	-0.109170	0.084554	-0.077320	0.999998	-0.001001	-0.001604	-0.000403	131.071672	42.932012	140.162775	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34693	NaN	-6.518949	5.123057	-4.577880	0.000259	-0.123167	-0.342517	NaN	NaN	NaN	-0.080114	-0.182684	-0.084697	NaN	NaN	NaN	0.533447	-0.478516	0.632568	-0.108472	0.085410	-0.076520	0.999998	-0.000668	-0.001522	-0.000706	130.925776	43.110370	140.056468	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34694	NaN	-6.439785	5.091750	-4.558601	-0.059328	-0.096130	-0.423079	NaN	NaN	NaN	-0.026383	-0.147171	-0.127035	NaN	NaN	NaN	0.541016	-0.473145	0.623047	-0.107147	0.084959	-0.076127	0.999999	-0.000220	-0.001226	-0.001059	130.879476	43.297013	140.019490	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34695	NaN	-6.495999	5.046003	-4.445752	0.039545	-0.108923	-0.463284	NaN	NaN	NaN	0.040914	-0.152098	-0.135413	NaN	NaN	NaN	0.535645	-0.483887	0.629150	-0.108078	0.084247	-0.074204	0.999999	0.000341	-0.001267	-0.001128	130.898910	43.492818	139.983863	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34696	NaN	-6.487898	4.918576	-4.500243	-0.036755	-0.202800	-0.512429	NaN	NaN	NaN	0.086119	-0.182900	-0.141514	NaN	NaN	NaN	0.544189	-0.485107	0.619873	-0.107920	0.082157	-0.075110	0.999998	0.000718	-0.001524	-0.001179	130.943740	43.712180	139.926669	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34697	NaN	-6.377392	5.002646	-4.780509	-0.346583	-0.123722	-0.409750	NaN	NaN	NaN	0.280900	-0.174148	-0.162834	NaN	NaN	NaN	0.538330	-0.481445	0.626709	-0.106061	0.083708	-0.079633	0.999995	0.002341	-0.001451	-0.001357	131.193647	43.941495	139.898520	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34698	NaN	-6.197632	5.437200	-4.466740	-0.176797	0.459272	-0.448757	NaN	NaN	NaN	0.320837	-0.131831	-0.115948	NaN	NaN	NaN	0.544678	-0.470947	0.628174	-0.103124	0.090918	-0.074316	0.999995	0.002674	-0.001099	-0.000966	131.483366	44.110522	139.873928	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34699	NaN	-6.308736	5.353538	-4.642539	-0.259683	0.321919	-0.334155	NaN	NaN	NaN	0.098172	0.037157	-0.094303	NaN	NaN	NaN	0.552734	-0.460205	0.631348	-0.105099	0.089371	-0.077270	0.999999	0.000818	0.000310	-0.000786	131.664949	44.157126	139.996906	NaN	NaN	NaN	NaN	NaN	NaN	0.00
