// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45ADB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
28492	NaN	3.107293	9.009797	-2.056779	-0.106527	-0.095218	-0.063760	NaN	NaN	NaN	0.140016	-0.038767	0.007077	NaN	NaN	NaN	-0.020264	-1.304199	0.369629	0.051790	0.150206	-0.034088	0.999999	0.001167	-0.000323	0.000059	103.469231	-19.246077	4.315595	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28493	NaN	3.105729	8.962988	-2.150019	-0.105420	-0.018044	-0.086856	NaN	NaN	NaN	0.153298	-0.051890	0.017880	NaN	NaN	NaN	-0.020508	-1.300781	0.381104	0.051755	0.149436	-0.035620	0.999999	0.001277	-0.000432	0.000149	103.632057	-19.246445	4.262360	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28494	NaN	3.076448	8.978954	-2.198752	-0.143437	-0.004396	-0.071025	NaN	NaN	NaN	0.153082	-0.091239	0.031292	NaN	NaN	NaN	-0.018066	-1.302246	0.389160	0.051263	0.149709	-0.036416	0.999999	0.001276	-0.000760	0.000261	103.808485	-19.250191	4.167241	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28495	NaN	3.243993	8.980047	-2.330524	-0.003701	0.105026	0.015077	NaN	NaN	NaN	0.150136	-0.112169	0.031121	NaN	NaN	NaN	-0.024902	-1.303711	0.387451	0.054064	0.149730	-0.038604	0.999999	0.001251	-0.000935	0.000259	103.988865	-19.248694	4.051603	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28496	NaN	3.360852	8.986940	-2.416710	0.094283	0.166367	0.079950	NaN	NaN	NaN	0.143117	-0.074705	0.016118	NaN	NaN	NaN	-0.027100	-1.300293	0.391602	0.056019	0.149838	-0.040065	0.999999	0.001193	-0.000623	0.000134	104.149201	-19.241672	3.976416	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28497	NaN	3.260903	9.005708	-2.423829	-0.003473	0.137860	0.066186	NaN	NaN	NaN	0.126975	-0.042781	0.005771	NaN	NaN	NaN	-0.021240	-1.297119	0.385254	0.054356	0.150140	-0.040219	0.999999	0.001058	-0.000357	0.000048	104.282951	-19.232381	3.935120	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28498	NaN	3.254355	9.024698	-2.439539	-0.015240	0.127266	0.085337	NaN	NaN	NaN	0.109397	-0.036739	0.011123	NaN	NaN	NaN	-0.028809	-1.296875	0.399902	0.054238	0.150454	-0.040505	1.000000	0.000912	-0.000306	0.000093	104.398396	-19.229386	3.898424	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28499	NaN	3.137364	9.022067	-2.438135	-0.123131	0.101738	0.044276	NaN	NaN	NaN	0.095227	-0.025916	0.013167	NaN	NaN	NaN	-0.030762	-1.291504	0.404541	0.052282	0.150406	-0.040505	1.000000	0.000794	-0.000216	0.000110	104.496990	-19.230795	3.871816	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28500	NaN	3.075126	9.014770	-2.426548	-0.177443	0.073789	0.014503	NaN	NaN	NaN	0.070962	-0.051583	0.024478	NaN	NaN	NaN	-0.021973	-1.292725	0.393555	0.051239	0.150280	-0.040332	1.000000	0.000591	-0.000430	0.000204	104.581640	-19.236464	3.817207	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28501	NaN	3.165900	8.993157	-2.463262	-0.091076	0.107431	0.033510	NaN	NaN	NaN	0.054857	-0.078078	0.034490	NaN	NaN	NaN	-0.030762	-1.305908	0.396484	0.052749	0.149920	-0.040952	1.000000	0.000457	-0.000651	0.000287	104.660310	-19.244918	3.734103	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28502	NaN	3.182217	8.998415	-2.456169	-0.076990	0.087963	0.042112	NaN	NaN	NaN	0.046568	-0.081169	0.037757	NaN	NaN	NaN	-0.020508	-1.299805	0.401367	0.053017	0.150006	-0.040842	1.000000	0.000388	-0.000676	0.000315	104.732357	-19.255536	3.647119	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28503	NaN	3.219446	8.985715	-2.464961	-0.040630	0.091822	0.044993	NaN	NaN	NaN	0.024064	-0.091151	0.043259	NaN	NaN	NaN	-0.030762	-1.290283	0.405518	0.053635	0.149789	-0.041012	1.000000	0.000201	-0.000760	0.000360	104.786628	-19.268713	3.548936	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28504	NaN	3.300747	8.975745	-2.471618	0.036394	0.097712	0.064405	NaN	NaN	NaN	0.014369	-0.083821	0.041230	NaN	NaN	NaN	-0.022461	-1.296143	0.401367	0.054990	0.149620	-0.041137	1.000000	0.000120	-0.000699	0.000344	104.829131	-19.281727	3.458425	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28505	NaN	3.295340	8.939821	-2.499483	0.036362	0.128798	0.036636	NaN	NaN	NaN	0.002488	-0.050333	0.032977	NaN	NaN	NaN	-0.020996	-1.294189	0.406982	0.054899	0.149013	-0.041632	1.000000	0.000021	-0.000419	0.000275	104.848788	-19.295268	3.402788	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28506	NaN	3.260304	8.914846	-2.473749	0.012558	0.105846	-0.003909	NaN	NaN	NaN	0.006363	-0.033155	0.028107	NaN	NaN	NaN	-0.025635	-1.296387	0.407715	0.054315	0.148596	-0.041206	1.000000	0.000053	-0.000276	0.000234	104.866194	-19.308507	3.365202	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28507	NaN	3.243039	8.934839	-2.425579	-0.005367	0.050656	-0.003024	NaN	NaN	NaN	0.004419	-0.021035	0.028814	NaN	NaN	NaN	-0.022217	-1.293457	0.406494	0.054022	0.148928	-0.040411	1.000000	0.000037	-0.000175	0.000240	104.877895	-19.325360	3.339278	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28508	NaN	3.203740	8.911925	-2.419092	-0.037427	0.046012	-0.038495	NaN	NaN	NaN	0.010154	-0.022583	0.031911	NaN	NaN	NaN	-0.025879	-1.299316	0.403809	0.053364	0.148550	-0.040296	1.000000	0.000085	-0.000188	0.000266	104.895851	-19.344687	3.311027	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28509	NaN	3.173382	8.918582	-2.423746	-0.072257	0.042820	-0.041355	NaN	NaN	NaN	0.021724	-0.028310	0.039905	NaN	NaN	NaN	-0.036133	-1.296387	0.406250	0.052850	0.148668	-0.040356	1.000000	0.000181	-0.000236	0.000333	104.927416	-19.369971	3.275076	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28510	NaN	3.251134	8.932445	-2.424223	-0.007743	0.037782	-0.002804	NaN	NaN	NaN	0.026534	-0.032584	0.046691	NaN	NaN	NaN	-0.024414	-1.303467	0.404297	0.054139	0.148904	-0.040356	1.000000	0.000221	-0.000272	0.000389	104.965575	-19.400443	3.233151	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28511	NaN	3.224825	8.881604	-2.405153	-0.019048	0.025752	-0.062502	NaN	NaN	NaN	0.025667	-0.033103	0.045842	NaN	NaN	NaN	-0.022705	-1.295898	0.415527	0.053702	0.148056	-0.040039	1.000000	0.000214	-0.000276	0.000382	105.003028	-19.429972	3.190922	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28512	NaN	3.184030	8.917082	-2.396198	-0.071059	-0.002263	-0.045953	NaN	NaN	NaN	0.038712	-0.043971	0.040725	NaN	NaN	NaN	-0.029541	-1.295898	0.410156	0.053031	0.148649	-0.039869	1.000000	0.000323	-0.000366	0.000339	105.056064	-19.452061	3.139379	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28513	NaN	3.117123	8.855254	-2.424802	-0.121963	0.029734	-0.117540	NaN	NaN	NaN	0.039456	-0.061888	0.041264	NaN	NaN	NaN	-0.029785	-1.300781	0.407227	0.051922	0.147619	-0.040338	1.000000	0.000329	-0.000516	0.000344	105.115711	-19.470150	3.070123	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28514	NaN	3.124286	8.889650	-2.401787	-0.125046	-0.014555	-0.089532	NaN	NaN	NaN	0.069083	-0.105108	0.054076	NaN	NaN	NaN	-0.029053	-1.297852	0.412109	0.052040	0.148207	-0.039899	0.999999	0.000576	-0.000876	0.000451	105.218901	-19.489151	2.955188	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28515	NaN	3.197394	8.879953	-2.458046	-0.064514	0.027983	-0.060051	NaN	NaN	NaN	0.075139	-0.122680	0.075156	NaN	NaN	NaN	-0.035400	-1.304443	0.412598	0.053239	0.148058	-0.040820	0.999999	0.000626	-0.001022	0.000626	105.335562	-19.522935	2.817408	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28516	NaN	3.191693	8.832424	-2.413833	-0.054257	-0.022179	-0.116207	NaN	NaN	NaN	0.092061	-0.146065	0.086343	NaN	NaN	NaN	-0.022461	-1.295410	0.420654	0.053138	0.147276	-0.040053	0.999999	0.000767	-0.001217	0.000720	105.477141	-19.560797	2.653641	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28517	NaN	3.202250	8.840728	-2.425431	-0.053075	-0.037219	-0.102315	NaN	NaN	NaN	0.101643	-0.177705	0.086252	NaN	NaN	NaN	-0.034180	-1.288574	0.421387	0.053325	0.147418	-0.040220	0.999998	0.000847	-0.001481	0.000719	105.638363	-19.590038	2.458934	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28518	NaN	3.207876	8.790601	-2.467177	-0.040235	-0.010593	-0.135380	NaN	NaN	NaN	0.120824	-0.203888	0.077912	NaN	NaN	NaN	-0.025391	-1.294922	0.422607	0.053439	0.146586	-0.040881	0.999998	0.001007	-0.001699	0.000649	105.825799	-19.604299	2.240789	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28519	NaN	3.258403	8.777325	-2.511327	0.005877	0.005670	-0.119121	NaN	NaN	NaN	0.141513	-0.217606	0.066061	NaN	NaN	NaN	-0.037109	-1.292236	0.428467	0.054302	0.146368	-0.041584	0.999998	0.001179	-0.001813	0.000551	106.036405	-19.603348	2.012544	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28520	NaN	3.301993	8.769207	-2.546632	0.047319	0.008051	-0.102638	NaN	NaN	NaN	0.161851	-0.221675	0.056278	NaN	NaN	NaN	-0.029785	-1.291992	0.435547	0.055043	0.146236	-0.042145	0.999997	0.001349	-0.001847	0.000469	106.266811	-19.591538	1.783064	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28521	NaN	3.346656	8.788158	-2.647944	0.074196	0.062414	-0.043660	NaN	NaN	NaN	0.181888	-0.216471	0.055684	NaN	NaN	NaN	-0.033936	-1.296143	0.443115	0.055789	0.146562	-0.043810	0.999997	0.001516	-0.001804	0.000464	106.514530	-19.579668	1.558929	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28522	NaN	3.403468	8.765060	-2.694671	0.133230	0.074250	-0.032723	NaN	NaN	NaN	0.202347	-0.201757	0.043787	NaN	NaN	NaN	-0.029785	-1.296631	0.442627	0.056746	0.146180	-0.044569	0.999997	0.001686	-0.001681	0.000365	106.775758	-19.560011	1.352593	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28523	NaN	3.364053	8.800459	-2.753717	0.082752	0.076939	0.002351	NaN	NaN	NaN	0.218712	-0.164033	0.029425	NaN	NaN	NaN	-0.021484	-1.297607	0.441895	0.056094	0.146771	-0.045551	0.999997	0.001823	-0.001367	0.000245	107.038830	-19.536815	1.187187	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28524	NaN	3.359811	8.807582	-2.803157	0.075699	0.080218	0.021296	NaN	NaN	NaN	0.216943	-0.139615	0.021848	NaN	NaN	NaN	-0.030518	-1.291016	0.451904	0.056024	0.146887	-0.046389	0.999998	0.001808	-0.001163	0.000182	107.291431	-19.512869	1.047839	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28525	NaN	3.431418	8.821290	-2.893831	0.133518	0.124252	0.083305	NaN	NaN	NaN	0.208067	-0.111368	0.009736	NaN	NaN	NaN	-0.032227	-1.298096	0.455566	0.057223	0.147109	-0.047922	0.999998	0.001734	-0.000928	0.000081	107.525137	-19.485438	0.939545	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28526	NaN	3.407276	8.826158	-2.942690	0.108449	0.133441	0.093894	NaN	NaN	NaN	0.198985	-0.045887	-0.004933	NaN	NaN	NaN	-0.024414	-1.295654	0.458008	0.056813	0.147181	-0.048779	0.999999	0.001658	-0.000382	-0.000041	107.727500	-19.463211	0.899064	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28527	NaN	3.247229	8.857254	-2.944938	-0.047590	0.093297	0.069471	NaN	NaN	NaN	0.174946	-0.023525	-0.019225	NaN	NaN	NaN	-0.032227	-1.302734	0.456299	0.054154	0.147684	-0.048856	0.999999	0.001458	-0.000196	-0.000160	107.898210	-19.434376	0.884709	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28528	NaN	3.270055	8.837632	-3.022169	-0.023073	0.147679	0.082166	NaN	NaN	NaN	0.144069	-0.030109	-0.024828	NaN	NaN	NaN	-0.027588	-1.292969	0.468994	0.054544	0.147343	-0.050179	0.999999	0.001201	-0.000251	-0.000207	108.040923	-19.398495	0.865788	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28529	NaN	3.253204	8.835070	-3.082596	-0.038816	0.184627	0.092290	NaN	NaN	NaN	0.124309	-0.006829	-0.032680	NaN	NaN	NaN	-0.027832	-1.282471	0.475098	0.054263	0.147290	-0.051221	0.999999	0.001036	-0.000057	-0.000272	108.156505	-19.362344	0.871897	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28530	NaN	3.272318	8.875885	-3.059359	-0.023824	0.134435	0.128662	NaN	NaN	NaN	0.081040	-0.011925	-0.037317	NaN	NaN	NaN	-0.031738	-1.300781	0.479980	0.054590	0.147949	-0.050884	1.000000	0.000675	-0.000099	-0.000311	108.231894	-19.320479	0.874627	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28531	NaN	3.340795	8.875946	-3.144085	0.038240	0.207732	0.176506	NaN	NaN	NaN	0.034988	0.009442	-0.046345	NaN	NaN	NaN	-0.035645	-1.285645	0.473633	0.055733	0.147926	-0.052363	1.000000	0.000292	0.000079	-0.000386	108.255560	-19.276817	0.900771	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28532	NaN	3.200038	8.930955	-3.047627	-0.092605	0.097255	0.150856	NaN	NaN	NaN	-0.005507	0.049999	-0.060787	NaN	NaN	NaN	-0.030273	-1.295654	0.482666	0.053388	0.148820	-0.050823	1.000000	-0.000046	0.000417	-0.000507	108.226225	-19.232182	0.970430	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28533	NaN	3.050549	8.888659	-3.001874	-0.208086	0.073019	0.050209	NaN	NaN	NaN	-0.055527	0.029172	-0.049593	NaN	NaN	NaN	-0.023926	-1.291260	0.469727	0.050892	0.148100	-0.050112	1.000000	-0.000463	0.000243	-0.000413	108.156942	-19.191433	1.016502	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28534	NaN	3.051568	8.869342	-2.994382	-0.194856	0.084262	0.031019	NaN	NaN	NaN	-0.077275	0.005921	-0.024748	NaN	NaN	NaN	-0.027588	-1.294922	0.471924	0.050887	0.147780	-0.050004	1.000000	-0.000644	0.000049	-0.000206	108.076843	-19.166265	1.032353	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28535	NaN	3.043679	8.830627	-2.929606	-0.179997	0.047938	-0.025357	NaN	NaN	NaN	-0.087459	-0.018998	0.001039	NaN	NaN	NaN	-0.034180	-1.289307	0.464600	0.050734	0.147142	-0.048926	1.000000	-0.000729	-0.000158	0.000009	107.997550	-19.157120	1.016141	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28536	NaN	3.120428	8.795140	-2.889494	-0.091988	0.034092	-0.043803	NaN	NaN	NaN	-0.083406	-0.042222	0.027861	NaN	NaN	NaN	-0.028320	-1.294922	0.471191	0.051990	0.146564	-0.048242	1.000000	-0.000695	-0.000352	0.000232	107.932206	-19.165515	0.969215	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28537	NaN	3.195405	8.722492	-2.853024	0.003375	0.032650	-0.095119	NaN	NaN	NaN	-0.070147	-0.049564	0.036556	NaN	NaN	NaN	-0.027344	-1.296875	0.463135	0.053232	0.145363	-0.047613	1.000000	-0.000585	-0.000413	0.000305	107.882739	-19.179694	0.912550	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28538	NaN	3.301925	8.694495	-2.847868	0.110918	0.043639	-0.086789	NaN	NaN	NaN	-0.038770	-0.045958	0.032918	NaN	NaN	NaN	-0.026855	-1.302490	0.469238	0.055011	0.144908	-0.047490	1.000000	-0.000323	-0.000383	0.000274	107.861730	-19.191657	0.860477	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28539	NaN	3.251821	8.686303	-2.809668	0.069449	0.011137	-0.121686	NaN	NaN	NaN	-0.009484	-0.016941	0.011122	NaN	NaN	NaN	-0.028809	-1.295654	0.466553	0.054190	0.144773	-0.046832	1.000000	-0.000079	-0.000141	0.000093	107.857292	-19.192324	0.843094	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28540	NaN	3.194451	8.701996	-2.771989	0.015517	-0.032298	-0.137364	NaN	NaN	NaN	0.022633	-0.027730	0.003584	NaN	NaN	NaN	-0.026611	-1.292236	0.464600	0.053247	0.145044	-0.046160	1.000000	0.000189	-0.000231	0.000030	107.886163	-19.182978	0.817659	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28541	NaN	3.244646	8.685392	-2.838053	0.062698	0.030077	-0.116634	NaN	NaN	NaN	0.043253	-0.032843	-0.001969	NaN	NaN	NaN	-0.024902	-1.290527	0.461670	0.054093	0.144773	-0.047234	1.000000	0.000360	-0.000274	-0.000016	107.935761	-19.167070	0.789043	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28542	NaN	3.133151	8.736273	-2.844165	-0.055795	0.008773	-0.105722	NaN	NaN	NaN	0.069418	-0.029908	-0.007501	NaN	NaN	NaN	-0.019775	-1.294434	0.467529	0.052240	0.145629	-0.047305	1.000000	0.000578	-0.000249	-0.000063	108.008835	-19.146974	0.764990	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28543	NaN	3.158197	8.766525	-2.863078	-0.039693	0.004679	-0.064776	NaN	NaN	NaN	0.074945	-0.059955	-0.001921	NaN	NaN	NaN	-0.021729	-1.295654	0.469971	0.052663	0.146138	-0.047600	1.000000	0.000625	-0.000500	-0.000016	108.097208	-19.123015	0.710378	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28544	NaN	3.161045	8.764731	-2.944429	-0.041017	0.067921	-0.041502	NaN	NaN	NaN	0.076899	-0.071436	-0.003075	NaN	NaN	NaN	-0.023438	-1.296631	0.479248	0.052717	0.146109	-0.048949	1.000000	0.000641	-0.000595	-0.000026	108.190895	-19.094517	0.645138	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28545	NaN	3.126571	8.788041	-2.949067	-0.075397	0.049311	-0.030358	NaN	NaN	NaN	0.074410	-0.091732	-0.006652	NaN	NaN	NaN	-0.019775	-1.290771	0.470703	0.052155	0.146495	-0.049020	1.000000	0.000620	-0.000764	-0.000055	108.288152	-19.056607	0.561628	NaN	NaN	NaN	NaN	NaN	NaN	0.00
